CapInScen,MidLLapse,WindAloft,LowLLapse,ScenRelAMCIN,CombMoisture,MeanRH,SynForcng,AMInstabMt,ScenRelAMIns,MorningCIN,SubjVertMo,QGVertMotion,OutflowFrMt,CombClouds,SatContMoist,AreaMoDryAir,AMInsWliScen,IRCloudCover,CldShadeConv,LIfr12ZDENSd,ScnRelPlFcst,CurPropConv,N0_7muVerMo,TempDis,Scenario,MvmtFeatures,InsChange,LLIW,Boundaries,LoLevMoistAd,AreaMeso_ALS,WndHodograph,LatestCIN,MountainFcst,Date,RHRatio,VISCloudCov,ScenRel3_4,N34StarFcst,CapChange,WindFieldMt,InsInMt,InsSclInScen,CompPlFcst,CldShadeOth,RaoContMoist,MorningBound,R5Fcst,Dewpoints,CombVerMo,AMDewptCalPl,SfcWndShfDis,AMCINInScen,WindFieldPln,PlainsFcst
LessThanAve,ModerateOrLe,AllElse,Stable,CThruK,Wet,Dry,SigPositive,Strong,K,PartInhibit,WeakUp,StrongUp,Strong,Clear,Wet,VeryWet,LessUnstable,Cloudy,Some,N1GtLIGt_4,K,,WeakUp,Other,K,OtherRapid,LittleChange,Weak,Strong,Negative,WeakUp,Westerly,PartInhibit,SIG,Aug20_Sep15,DryMMoistL,Clear,ACEFK,XNIL,Decreasing,LVorOther,Strong,LessUnstable,DecCapIncIns,Clear,Neutral,Weak,SIG,Other,WeakUp,Stability,MovingFtorOt,Average,LongAnticyc,XNIL
LessThanAve,CloseToDryAd,NWQuad,CloseToDryAd,CThruK,Wet,Dry,PosToNeg,,G,PartInhibit,Down,StrongUp,,Clear,Neutral,Wet,Average,PC,,N5GtLIGt_8,G,Moderate,WeakUp,,G,NoMajor,LittleChange,Moderate,Strong,Neutral,Neutral,Other,PartInhibit,XNIL,Jun15_Jul1,MoistMDryL,Clear,GJ,SIG,LittleChange,LVorOther,,MoreUnstable,LittleChange,Clear,VeryWet,Strong,SIG,LowEvrywhere,Neutral,Stability,DryLine,LessThanAve,WidespdDnsl,SIG
MoreThanAve,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,Wet,Dry,SigPositive,Strong,CDEJ,Stifling,Down,Down,Weak,Clear,VeryWet,Neutral,LessUnstable,Cloudy,Marked,LIGt0,C,Strong,WeakUp,Other,C,MarkedUpper,Decreasing,Moderate,Weak,Neutral,Down,Westerly,,SIG,Aug20_Sep15,Other,Clear,ACEFK,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,,SIG,LowEvrywhere,Down,Stability,E_W_N,MoreThanAve,LongAnticyc,XNIL
LessThanAve,Steep,AllElse,CloseToDryAd,CThruK,Neutral,Dry,LittleChange,,CDEJ,,WeakUp,Neutral,,PC,Wet,Wet,MoreUnstable,Cloudy,,LIGt0,E,Strong,WeakUp,,E,NoMajor,Increasing,Strong,Weak,StrongPos,WeakUp,Other,,XNIL,May15_Jun14,MoistMDryL,PC,ACEFK,XNIL,Decreasing,Westerly,,MoreUnstable,DecCapIncIns,Cloudy,Neutral,Strong,XNIL,LowAtStation,WeakUp,Instability,E_W_S,LessThanAve,LV,XNIL
MoreThanAve,ModerateOrLe,SWQuad,ModerateOrLe,CThruK,Neutral,Average,SigNegative,Strong,H,Stifling,WeakUp,Neutral,Weak,Clear,Neutral,Neutral,Average,PC,Marked,N1GtLIGt_4,H,Strong,StrongUp,,H,MarkedUpper,Decreasing,Moderate,Weak,Negative,WeakUp,Westerly,,XNIL,May15_Jun14,Other,PC,HI,SVR,Increasing,LVorOther,Strong,LessUnstable,IncCapDecIns,Clear,Neutral,Weak,SVR,LowMtsHighPl,WeakUp,Stability,MovingFtorOt,MoreThanAve,SEQuad,SVR
MoreThanAve,Steep,SWQuad,Steep,CThruK,Neutral,Average,PosToNeg,Strong,CDEJ,TotalInhibit,Down,Neutral,Weak,PC,Neutral,Neutral,Average,Cloudy,,N1GtLIGt_4,D,Slight,StrongUp,QStationary,D,StrongFront,Decreasing,Strong,Weak,WeakPos,Neutral,Other,PartInhibit,XNIL,Jun15_Jul1,MoistMDryL,Clear,D,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,Neutral,Strong,XNIL,LowMtsHighPl,Neutral,Stability,DenvCyclone,MoreThanAve,SEQuad,XNIL
Average,ModerateOrLe,LV,Steep,CThruK,Neutral,Dry,LittleChange,Strong,CDEJ,PartInhibit,Down,StrongUp,Strong,PC,Neutral,Neutral,LessUnstable,Cloudy,Marked,N1GtLIGt_4,J,Strong,Neutral,Other,J,OtherRapid,Decreasing,Strong,Weak,Negative,WeakUp,StrongWest,PartInhibit,SVR,Jun15_Jul1,MoistMDryL,PC,GJ,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Wet,,SVR,LowNHighS,WeakUp,Stability,DryLine,Average,LV,XNIL
LessThanAve,Steep,AllElse,Steep,CThruK,Neutral,Average,LittleChange,,ABI,PartInhibit,Neutral,Neutral,,Clear,Neutral,Neutral,Average,PC,,N5GtLIGt_8,I,Moderate,Down,QStationary,I,NoMajor,Increasing,Strong,,WeakPos,Neutral,Other,,SVR,Jul2_Jul15,MoistMDryL,Clear,HI,SIG,Increasing,LVorOther,Strong,Average,IncCapDecIns,Clear,Dry,,SVR,LowSHighN,Neutral,Stability,MovingFtorOt,LessThanAve,E_NE,SIG
LessThanAve,CloseToDryAd,NWQuad,Stable,CThruK,VeryWet,VeryMoist,SigPositive,Weak,H,PartInhibit,Neutral,Down,Weak,Cloudy,Dry,VeryWet,Average,Cloudy,,N1GtLIGt_4,H,,Neutral,Moving,H,NoMajor,Decreasing,Unfavorable,Weak,WeakPos,Neutral,Other,,XNIL,May15_Jun14,DryMMoistL,Cloudy,HI,XNIL,Decreasing,LVorOther,Weak,Average,DecCapIncIns,Cloudy,Wet,Weak,XNIL,LowSHighN,Neutral,Stability,,LessThanAve,SEQuad,XNIL
MoreThanAve,CloseToDryAd,LV,ModerateOrLe,CThruK,VeryWet,VeryMoist,SigPositive,,ABI,PartInhibit,Down,Down,,PC,Neutral,VeryWet,LessUnstable,Clear,,N1GtLIGt_4,I,,StrongUp,Moving,I,MarkedUpper,Decreasing,Weak,Weak,Negative,Down,StrongWest,Stifling,XNIL,Aug20_Sep15,DryMMoistL,PC,HI,XNIL,Increasing,LVorOther,,LessUnstable,IncCapDecIns,Clear,Wet,,XNIL,LowSHighN,Down,Stability,MovingFtorOt,Average,E_NE,XNIL
Average,ModerateOrLe,NWQuad,Steep,CThruK,Neutral,Average,PosToNeg,,CDEJ,Stifling,StronUp,StrongUp,,PC,Neutral,Neutral,LessUnstable,PC,,N5GtLIGt_8,C,Slight,Down,QStationary,C,NoMajor,Increasing,Strong,Weak,StrongPos,WeakUp,Other,Stifling,XNIL,May15_Jun14,Other,PC,ACEFK,XNIL,Increasing,LVorOther,,MoreUnstable,IncCapDecIns,PC,Dry,,XNIL,LowEvrywhere,WeakUp,Stability,DryLine,Average,LongAnticyc,XNIL
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Neutral,VeryMoist,LittleChange,Strong,F,PartInhibit,Down,Neutral,Weak,PC,Neutral,Dry,Average,PC,Marked,N1GtLIGt_4,F,,StrongUp,,F,StrongFront,LittleChange,Unfavorable,Weak,Neutral,Down,DCVZFavor,Stifling,SIG,Aug11_Aug20,Other,PC,ACEFK,XNIL,LittleChange,LVorOther,Strong,Average,LittleChange,PC,Neutral,,SIG,Other,Down,Instability,E_W_S,LessThanAve,LV,XNIL
MoreThanAve,ModerateOrLe,SWQuad,Stable,CThruK,Wet,Average,SigPositive,Weak,CDEJ,PartInhibit,Neutral,Neutral,Strong,PC,Neutral,Wet,Average,PC,Marked,N1GtLIGt_4,E,Strong,Neutral,Other,E,NoMajor,Increasing,Weak,Weak,Neutral,Neutral,Westerly,,SVR,Jul16_Aug10,MoistMDryL,PC,ACEFK,SIG,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,Clear,Neutral,,SVR,LowAtStation,Neutral,Instability,DryLine,Average,LV,SIG
MoreThanAve,ModerateOrLe,NWQuad,Stable,CThruK,Wet,Average,NegToPos,Strong,H,PartInhibit,StronUp,Neutral,Weak,Clear,VeryWet,VeryWet,MoreUnstable,Clear,,N5GtLIGt_8,H,Slight,Down,,H,MarkedUpper,LittleChange,Moderate,,WeakPos,WeakUp,Other,Stifling,SIG,May15_Jun14,DryMMoistL,Clear,HI,SIG,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Neutral,Weak,SIG,HighEvrywher,WeakUp,Stability,MovingFtorOt,Average,E_NE,SIG
Average,CloseToDryAd,LV,CloseToDryAd,CThruK,Dry,Average,LittleChange,Strong,CDEJ,PartInhibit,Down,WeakUp,Weak,PC,Dry,Dry,MoreUnstable,Clear,Marked,N1GtLIGt_4,J,Slight,Neutral,QStationary,J,NoMajor,LittleChange,Weak,Weak,Neutral,Down,StrongWest,,SIG,Jun15_Jul1,DryMMoistL,PC,GJ,SIG,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,PC,Wet,Strong,SIG,LowSHighN,Down,Instability,,Average,SEQuad,SIG
LessThanAve,CloseToDryAd,NWQuad,ModerateOrLe,CThruK,VeryWet,Dry,SigPositive,Weak,ABI,PartInhibit,Neutral,WeakUp,,PC,VeryWet,VeryWet,Average,PC,Some,N1GtLIGt_4,I,Moderate,WeakUp,QStationary,I,StrongFront,Decreasing,Weak,,Neutral,WeakUp,Westerly,,SVR,Jul16_Aug10,Other,PC,HI,SIG,Decreasing,LVorOther,Strong,Average,DecCapIncIns,Clear,Wet,,SVR,HighEvrywher,WeakUp,Stability,E_W_S,Average,LV,SIG
Average,CloseToDryAd,NWQuad,Steep,CThruK,Neutral,Average,SigPositive,Strong,CDEJ,PartInhibit,StronUp,Neutral,Weak,PC,Neutral,Neutral,MoreUnstable,PC,,N5GtLIGt_8,D,Slight,WeakUp,,D,MarkedUpper,Decreasing,Weak,Weak,Neutral,WeakUp,StrongWest,,SIG,Jul16_Aug10,MoistMDryL,Clear,D,SIG,LittleChange,Westerly,Weak,MoreUnstable,LittleChange,Cloudy,Neutral,,SIG,LowAtStation,WeakUp,Instability,DryLine,Average,LV,SIG
MoreThanAve,ModerateOrLe,NWQuad,Steep,CThruK,Dry,Average,SigPositive,Weak,CDEJ,PartInhibit,Neutral,Down,Strong,Clear,Neutral,Dry,MoreUnstable,Clear,Marked,N5GtLIGt_8,C,Moderate,Down,Other,C,NoMajor,Increasing,Moderate,Weak,StrongPos,Down,StrongWest,,SIG,Jul16_Aug10,MoistMDryL,Clear,ACEFK,XNIL,Increasing,LVorOther,Strong,MoreUnstable,IncCapDecIns,Clear,Dry,,SIG,Other,Down,Neutral,E_W_N,Average,LongAnticyc,XNIL
LessThanAve,CloseToDryAd,AllElse,CloseToDryAd,CThruK,Dry,Dry,SigPositive,Strong,CDEJ,PartInhibit,Neutral,Down,Weak,Clear,Wet,Dry,MoreUnstable,Clear,Some,N1GtLIGt_4,C,,WeakUp,,C,OtherRapid,LittleChange,Weak,,WeakPos,Neutral,Westerly,Stifling,SVR,Jul16_Aug10,Other,Clear,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Neutral,,SVR,Other,Neutral,Instability,,LessThanAve,LongAnticyc,XNIL
LessThanAve,Steep,SWQuad,ModerateOrLe,AB,Dry,Average,NegToPos,Strong,ABI,PartInhibit,StronUp,Neutral,Strong,PC,Dry,Dry,LessUnstable,Cloudy,Some,LIGt0,A,Slight,StrongUp,Other,A,OtherRapid,LittleChange,Weak,Weak,Negative,WeakUp,Westerly,PartInhibit,XNIL,Jul16_Aug10,Other,Clear,ACEFK,SIG,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Neutral,,SIG,HighEvrywher,WeakUp,Stability,DenvCyclone,LessThanAve,SEQuad,SIG
LessThanAve,Steep,AllElse,Steep,CThruK,Neutral,VeryMoist,PosToNeg,,CDEJ,PartInhibit,Neutral,WeakUp,,Clear,Wet,Neutral,MoreUnstable,Clear,,N5GtLIGt_8,E,Slight,StrongUp,Moving,E,NoMajor,Decreasing,Moderate,Weak,Neutral,WeakUp,DCVZFavor,PartInhibit,XNIL,Jul16_Aug10,DryMMoistL,PC,ACEFK,SVR,Decreasing,LVorOther,,Average,DecCapIncIns,Clear,Neutral,,SVR,LowMtsHighPl,WeakUp,Instability,DenvCyclone,Average,E_NE,SVR
LessThanAve,CloseToDryAd,LV,CloseToDryAd,CThruK,Dry,Dry,LittleChange,Weak,G,PartInhibit,Neutral,Down,Weak,PC,Neutral,Dry,LessUnstable,Clear,,N1GtLIGt_4,G,Strong,Down,,G,NoMajor,Decreasing,Weak,Strong,Negative,Down,DCVZFavor,,SIG,Aug20_Sep15,MoistMDryL,PC,GJ,XNIL,Decreasing,Westerly,Weak,LessUnstable,DecCapIncIns,PC,Dry,Strong,SIG,LowEvrywhere,Down,Instability,DryLine,LessThanAve,LV,XNIL
Average,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Neutral,VeryMoist,SigNegative,,CDEJ,PartInhibit,Neutral,StrongUp,,PC,Dry,Neutral,Average,Cloudy,,N1GtLIGt_4,D,Slight,WeakUp,Moving,D,MarkedUpper,LittleChange,Moderate,Weak,WeakPos,WeakUp,Other,Stifling,XNIL,Aug20_Sep15,Other,PC,D,XNIL,LittleChange,Westerly,,Average,LittleChange,Cloudy,VeryWet,,XNIL,LowNHighS,WeakUp,Instability,,Average,DenvCyclone,XNIL
LessThanAve,CloseToDryAd,LV,Steep,CThruK,VeryWet,Dry,PosToNeg,Weak,ABI,PartInhibit,Down,Down,,PC,Wet,VeryWet,LessUnstable,Cloudy,,N5GtLIGt_8,I,,StrongUp,QStationary,I,NoMajor,Increasing,Unfavorable,,WeakPos,WeakUp,Other,PartInhibit,SVR,Aug20_Sep15,DryMMoistL,Clear,HI,XNIL,Increasing,Westerly,Strong,LessUnstable,IncCapDecIns,PC,VeryWet,,SVR,LowSHighN,WeakUp,Stability,MovingFtorOt,LessThanAve,WidespdDnsl,XNIL
Average,ModerateOrLe,LV,ModerateOrLe,CThruK,Neutral,Average,LittleChange,Strong,CDEJ,PartInhibit,WeakUp,Neutral,,Cloudy,Dry,Wet,LessUnstable,PC,,N1GtLIGt_4,J,,Neutral,,J,NoMajor,Decreasing,Weak,,Negative,WeakUp,Other,,SVR,Jul16_Aug10,Other,PC,GJ,XNIL,LittleChange,LVorOther,Strong,LessUnstable,LittleChange,PC,Neutral,,SVR,LowAtStation,WeakUp,Stability,E_W_N,Average,LV,XNIL
MoreThanAve,CloseToDryAd,SWQuad,Stable,AB,VeryWet,Average,SigNegative,,ABI,TotalInhibit,WeakUp,Neutral,,Clear,Dry,VeryWet,LessUnstable,PC,,N5GtLIGt_8,A,Slight,Neutral,Other,A,StrongFront,LittleChange,Weak,Strong,Neutral,WeakUp,DCVZFavor,PartInhibit,XNIL,Aug11_Aug20,DryMMoistL,Clear,ACEFK,XNIL,Increasing,LVorOther,,LessUnstable,IncCapDecIns,Cloudy,Wet,Strong,XNIL,LowMtsHighPl,WeakUp,Instability,MovingFtorOt,MoreThanAve,DenvCyclone,XNIL
LessThanAve,Steep,SWQuad,CloseToDryAd,CThruK,Dry,Average,LittleChange,Strong,CDEJ,PartInhibit,Neutral,Neutral,Weak,PC,Neutral,Dry,MoreUnstable,PC,Some,N5GtLIGt_8,E,,StrongUp,,E,StrongFront,LittleChange,Unfavorable,,Neutral,Neutral,Westerly,TotalInhibit,XNIL,Aug11_Aug20,MoistMDryL,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Neutral,,XNIL,LowAtStation,Neutral,Neutral,,LessThanAve,LV,XNIL
LessThanAve,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Dry,Average,NegToPos,Weak,CDEJ,PartInhibit,Neutral,StrongUp,Weak,Clear,VeryWet,Dry,MoreUnstable,PC,Marked,N1GtLIGt_4,E,Moderate,Down,Other,E,NoMajor,LittleChange,Moderate,,Neutral,Down,DCVZFavor,,SIG,Jul16_Aug10,MoistMDryL,PC,ACEFK,SVR,LittleChange,Westerly,Strong,MoreUnstable,LittleChange,Clear,Dry,,SVR,LowEvrywhere,Down,Neutral,,LessThanAve,SEQuad,SVR
Average,ModerateOrLe,SWQuad,Steep,AB,Neutral,Average,SigNegative,Weak,ABI,PartInhibit,Down,Neutral,Weak,Cloudy,Neutral,Neutral,LessUnstable,Cloudy,Some,LIGt0,A,Slight,WeakUp,Other,A,StrongFront,LittleChange,Weak,Weak,Neutral,Neutral,StrongWest,PartInhibit,SIG,May15_Jun14,DryMMoistL,PC,ACEFK,SIG,LittleChange,Westerly,Weak,LessUnstable,LittleChange,Cloudy,Neutral,,SIG,HighEvrywher,Neutral,Stability,DenvCyclone,Average,DenvCyclone,XNIL
LessThanAve,ModerateOrLe,AllElse,Stable,CThruK,Dry,VeryMoist,PosToNeg,,F,,Neutral,WeakUp,,Clear,Neutral,Neutral,Average,Clear,,N1GtLIGt_4,F,Strong,Down,,F,NoMajor,Increasing,Moderate,,StrongPos,Neutral,StrongWest,,XNIL,Jul16_Aug10,Other,PC,ACEFK,SIG,LittleChange,LVorOther,,MoreUnstable,LittleChange,Clear,Dry,,SIG,HighEvrywher,Neutral,Neutral,,LessThanAve,LV,SIG
MoreThanAve,ModerateOrLe,AllElse,Steep,CThruK,Wet,Average,SigNegative,Weak,K,TotalInhibit,Neutral,Neutral,,PC,Wet,Wet,Average,Cloudy,,N1GtLIGt_4,K,Strong,Neutral,Moving,K,MarkedUpper,Decreasing,Moderate,Strong,WeakPos,Neutral,Other,PartInhibit,XNIL,Aug11_Aug20,Other,Clear,ACEFK,SIG,Decreasing,Westerly,Weak,LessUnstable,DecCapIncIns,PC,VeryWet,Strong,SIG,Other,Neutral,Stability,MovingFtorOt,MoreThanAve,E_NE,SIG
LessThanAve,Steep,LV,Steep,CThruK,Wet,VeryMoist,SigNegative,,F,PartInhibit,Neutral,Down,,PC,Wet,VeryWet,MoreUnstable,Clear,,N1GtLIGt_4,F,,StrongUp,,F,NoMajor,Decreasing,Unfavorable,Weak,Negative,StrongUp,Westerly,TotalInhibit,XNIL,Aug11_Aug20,Other,PC,ACEFK,XNIL,LittleChange,LVorOther,,Average,LittleChange,Cloudy,Wet,,XNIL,HighEvrywher,StrongUp,Instability,E_W_S,LessThanAve,SEQuad,XNIL
MoreThanAve,Steep,AllElse,Stable,CThruK,Wet,Average,NegToPos,Weak,H,TotalInhibit,Neutral,Down,Strong,PC,Neutral,Neutral,MoreUnstable,Cloudy,Marked,N1GtLIGt_4,H,,StrongUp,,H,MarkedUpper,Increasing,Moderate,Weak,WeakPos,Neutral,StrongWest,Stifling,XNIL,Jul16_Aug10,DryMMoistL,PC,HI,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,PC,VeryWet,Weak,XNIL,LowMtsHighPl,Neutral,Instability,MovingFtorOt,MoreThanAve,E_NE,XNIL
MoreThanAve,Steep,NWQuad,ModerateOrLe,CThruK,Neutral,VeryMoist,SigPositive,,K,TotalInhibit,StronUp,StrongUp,,PC,Neutral,Wet,Average,PC,Some,N1GtLIGt_4,K,Moderate,StrongUp,Moving,K,OtherRapid,LittleChange,Moderate,Weak,Neutral,StrongUp,Westerly,,SVR,Aug20_Sep15,DryMMoistL,PC,ACEFK,SVR,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,PC,Wet,Weak,SVR,LowSHighN,StrongUp,Stability,E_W_N,MoreThanAve,SEQuad,SVR
LessThanAve,Steep,SWQuad,Stable,AB,Wet,Dry,NegToPos,Strong,ABI,PartInhibit,StronUp,Neutral,,PC,VeryWet,VeryWet,LessUnstable,Clear,Some,N1GtLIGt_4,A,Slight,StrongUp,Other,A,MarkedUpper,Increasing,Weak,Weak,StrongPos,StrongUp,DCVZFavor,PartInhibit,XNIL,May15_Jun14,DryMMoistL,PC,ACEFK,XNIL,Decreasing,Westerly,Strong,LessUnstable,DecCapIncIns,PC,Neutral,,XNIL,Other,StrongUp,Stability,DenvCyclone,Average,LV,XNIL
MoreThanAve,CloseToDryAd,AllElse,Stable,CThruK,Neutral,Dry,SigPositive,,H,PartInhibit,Neutral,Neutral,,PC,Neutral,Wet,MoreUnstable,Clear,,N5GtLIGt_8,H,,WeakUp,Other,H,OtherRapid,LittleChange,Moderate,,Negative,Neutral,StrongWest,PartInhibit,XNIL,Aug11_Aug20,DryMMoistL,PC,HI,XNIL,Increasing,LVorOther,,MoreUnstable,IncCapDecIns,PC,VeryWet,,XNIL,Other,Neutral,Neutral,Other,Average,E_NE,XNIL
MoreThanAve,Steep,NWQuad,Steep,CThruK,Wet,Dry,SigPositive,Strong,CDEJ,TotalInhibit,StronUp,WeakUp,Weak,Clear,Neutral,VeryWet,MoreUnstable,PC,Marked,N1GtLIGt_4,C,Slight,WeakUp,Other,C,NoMajor,Increasing,Weak,Weak,Neutral,StrongUp,Other,PartInhibit,SVR,Jul16_Aug10,Other,PC,ACEFK,XNIL,Increasing,Westerly,Strong,MoreUnstable,IncCapDecIns,PC,Wet,,SVR,LowAtStation,StrongUp,Stability,E_W_S,MoreThanAve,LV,XNIL
LessThanAve,Steep,SWQuad,ModerateOrLe,AB,Wet,VeryMoist,LittleChange,,ABI,PartInhibit,Neutral,Down,,PC,Dry,Dry,LessUnstable,Cloudy,,N1GtLIGt_4,B,,StrongUp,QStationary,B,NoMajor,LittleChange,Unfavorable,Weak,Neutral,Down,Westerly,,XNIL,Jun15_Jul1,Other,PC,B,SIG,LittleChange,LVorOther,,LessUnstable,LittleChange,PC,Dry,,SIG,LowSHighN,Down,Stability,,LessThanAve,DenvCyclone,SIG
LessThanAve,ModerateOrLe,AllElse,ModerateOrLe,CThruK,Neutral,VeryMoist,SigPositive,,K,Stifling,StronUp,Down,Strong,Clear,Wet,Wet,MoreUnstable,PC,Some,N1GtLIGt_4,K,Moderate,Neutral,QStationary,K,MarkedUpper,LittleChange,Moderate,Strong,Negative,WeakUp,StrongWest,PartInhibit,SIG,May15_Jun14,MoistMDryL,Clear,ACEFK,XNIL,Decreasing,LVorOther,Weak,MoreUnstable,DecCapIncIns,PC,VeryWet,,SIG,Other,WeakUp,Instability,E_W_N,Average,LV,XNIL
LessThanAve,Steep,AllElse,Steep,CThruK,Neutral,Average,NegToPos,,CDEJ,PartInhibit,Down,Neutral,,Cloudy,Neutral,Neutral,MoreUnstable,PC,,N1GtLIGt_4,D,Slight,Down,,D,OtherRapid,LittleChange,Weak,,Neutral,Down,DCVZFavor,,XNIL,Jul2_Jul15,MoistMDryL,Cloudy,D,SVR,LittleChange,Westerly,,MoreUnstable,LittleChange,Cloudy,Dry,Weak,SVR,LowMtsHighPl,Down,Stability,DryLine,LessThanAve,SEQuad,SVR
MoreThanAve,Steep,LV,ModerateOrLe,AB,VeryWet,Average,SigPositive,Weak,ABI,Stifling,Down,Down,Strong,Clear,Dry,VeryWet,LessUnstable,Clear,Marked,N1GtLIGt_4,B,Slight,WeakUp,,B,StrongFront,LittleChange,Moderate,Strong,StrongPos,Neutral,DCVZFavor,PartInhibit,SIG,May15_Jun14,Other,Clear,B,SIG,LittleChange,Westerly,Strong,LessUnstable,LittleChange,Clear,Dry,Weak,SIG,LowSHighN,Neutral,Stability,DenvCyclone,MoreThanAve,LV,SIG
LessThanAve,Steep,LV,Stable,AB,Neutral,VeryMoist,LittleChange,Weak,ABI,PartInhibit,WeakUp,Neutral,,PC,Wet,Wet,LessUnstable,PC,Marked,N1GtLIGt_4,B,Slight,WeakUp,Other,B,NoMajor,Increasing,Weak,,Neutral,WeakUp,StrongWest,,SIG,Aug20_Sep15,Other,PC,B,XNIL,Decreasing,LVorOther,Strong,MoreUnstable,DecCapIncIns,PC,Dry,,SIG,HighEvrywher,WeakUp,Neutral,DenvCyclone,LessThanAve,SEQuad,XNIL
LessThanAve,ModerateOrLe,SWQuad,ModerateOrLe,CThruK,Wet,Average,PosToNeg,Weak,ABI,PartInhibit,WeakUp,StrongUp,Strong,PC,Wet,VeryWet,MoreUnstable,Clear,Some,N1GtLIGt_4,I,,StrongUp,QStationary,I,MarkedUpper,LittleChange,Unfavorable,Weak,Negative,StrongUp,StrongWest,Stifling,SIG,Aug20_Sep15,DryMMoistL,PC,HI,XNIL,LittleChange,LVorOther,Weak,MoreUnstable,LittleChange,Cloudy,VeryWet,Weak,SIG,LowMtsHighPl,StrongUp,Neutral,E_W_S,LessThanAve,E_NE,XNIL
MoreThanAve,CloseToDryAd,AllElse,CloseToDryAd,CThruK,VeryWet,Dry,NegToPos,Strong,G,Stifling,Down,Neutral,,PC,Dry,Wet,Average,PC,Some,N5GtLIGt_8,G,Moderate,Down,,G,NoMajor,Increasing,Moderate,,Neutral,Down,Westerly,,XNIL,May15_Jun14,MoistMDryL,PC,GJ,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,PC,Neutral,,XNIL,LowEvrywhere,Down,Neutral,DryLine,MoreThanAve,LV,SIG
Average,Steep,LV,Steep,CThruK,Wet,Average,LittleChange,Weak,CDEJ,PartInhibit,WeakUp,Neutral,,PC,VeryWet,Wet,MoreUnstable,Clear,Some,N1GtLIGt_4,J,Slight,Down,Other,J,NoMajor,LittleChange,Strong,Weak,Neutral,Neutral,Other,PartInhibit,XNIL,Jul16_Aug10,MoistMDryL,PC,GJ,SVR,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,PC,Neutral,Weak,SVR,LowAtStation,Neutral,Instability,DryLine,Average,DenvCyclone,SIG
MoreThanAve,ModerateOrLe,SWQuad,Steep,CThruK,Dry,Average,LittleChange,Strong,CDEJ,TotalInhibit,Neutral,Neutral,Strong,Cloudy,Dry,Dry,MoreUnstable,PC,Some,N1GtLIGt_4,E,,Neutral,,E,NoMajor,Decreasing,Moderate,Weak,Negative,Neutral,Westerly,PartInhibit,SIG,Jun15_Jul1,MoistMDryL,Cloudy,ACEFK,XNIL,LittleChange,LVorOther,Strong,MoreUnstable,LittleChange,Cloudy,Wet,,SIG,LowSHighN,Neutral,Neutral,DryLine,MoreThanAve,WidespdDnsl,XNIL
MoreThanAve,ModerateOrLe,AllElse,Stable,CThruK,Neutral,VeryMoist,LittleChange,Weak,F,Stifling,Neutral,Down,,Cloudy,VeryWet,Dry,Average,Cloudy,Some,N1GtLIGt_4,F,Strong,Neutral,,F,NoMajor,Decreasing,Weak,,Negative,Neutral,DCVZFavor,,XNIL,Jul16_Aug10,Other,Cloudy,ACEFK,SIG,Increasing,LVorOther,Weak,LessUnstable,IncCapDecIns,Cloudy,Neutral,,SIG,HighEvrywher,Neutral,Neutral,E_W_N,Average,LV,SIG
LessThanAve,ModerateOrLe,LV,Steep,CThruK,Wet,Average,SigPositive,Strong,CDEJ,PartInhibit,Down,Neutral,Strong,PC,Dry,Wet,LessUnstable,PC,Marked,N1GtLIGt_4,E,Slight,Down,,E,OtherRapid,Decreasing,Moderate,Strong,Negative,Neutral,Westerly,Stifling,SVR,May15_Jun14,Other,PC,ACEFK,XNIL,LittleChange,Westerly,Strong,LessUnstable,LittleChange,PC,Neutral,,SVR,LowNHighS,Neutral,Stability,,LessThanAve,LV,XNIL
Average,ModerateOrLe,SWQuad,CloseToDryAd,CThruK,Dry,Dry,PosToNeg,,CDEJ,Stifling,Neutral,Down,Weak,Clear,Neutral,Dry,Average,Cloudy,Some,N1GtLIGt_4,E,,Down,,E,NoMajor,LittleChange,Weak,Weak,WeakPos,Down,DCVZFavor,Stifling,SIG,Jul16_Aug10,Other,Clear,ACEFK,XNIL,LittleChange,LVorOther,Weak,LessUnstable,LittleChange,Clear,Dry,Weak,SIG,LowAtStation,Down,Stability,,Average,SEQuad,XNIL
